from,status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
5550296508_10155089515841509,"Donald J. Trump ""cashed in"" after Sept. 11, which was ""just another chance to make a quick buck,"" New York Rep. Joe Crowley said at the DNC. http://cnn.it/2a358gr #DemsInPhilly","Trump 'cashed in' after 9/11, NY congressman says",video,https://www.facebook.com/cnn/videos/10155089515841509/,2016-07-26 20:59:00,508,167,99,392,29,6,8,4,69
5550296508_10155089585426509,"Howard Dean revisits the infamous 2004 ""Dean scream"" and it's everything you didn't know you were missing http://cnn.it/2afOjBV #DemsInPhilly",Howard Dean revisits 'Dean Scream',video,https://www.facebook.com/cnn/videos/10155089585426509/,2016-07-26 20:48:15,1176,194,145,787,116,2,268,0,5
5550296508_10155089428801509,"""Women are going to be the reason that you're not elected president."" - Cecile Richards to Donald J. Trump. http://cnn.it/2afEUur",Cecile Richards: Why women will stop Trump,video,https://www.facebook.com/cnn/videos/10155089428801509/,2016-07-26 20:40:00,2972,754,317,2330,408,3,155,4,73
5550296508_10155089482821509,"• ""According to Donald J. Trump, my body is probably like a '2.' ""
• ""According to Donald Trump, I'm probably a rapist"" 
Actresses Lena Dunham and America Ferrera endorse Hillary Clinton during Tuesday night's Democratic National Convention http://cnn.it/2aIPl7Q",Lena Dunham & America Ferrera endorse Hillary Clinton,video,https://www.facebook.com/cnn/videos/10155089482821509/,2016-07-26 20:26:20,5011,1027,560,3927,576,14,373,10,113
5550296508_10155089369631509,"""Hillary Clinton isn't afraid to say that Black Lives Matter."" - Lucy McBath, mother of Jordan Davis and member of #MothersOfTheMovement, a black teenager who was killed by a white man angered over the loud music emanating from his car. http://cnn.it/2afEUur",'Hillary Clinton isn't afraid to say that Black Lives Matter',video,https://www.facebook.com/cnn/videos/10155089369631509/,2016-07-26 20:06:29,2674,871,511,1977,429,14,29,38,187
5550296508_10155089329786509,"Former Attorney General Eric Holder: We need a president ""sensitive to these echoes of Jim Crow."" http://cnn.it/2afEUur",,video,https://www.facebook.com/cnn/videos/10155089329786509/,2016-07-26 19:45:00,1259,493,162,1031,109,6,66,1,46
5550296508_10155089309291509,Interim DNC Chair Donna Brazile says Hillary Clinton will be a champion for kids. http://cnn.it/2afEhRr,Clinton: A champion for kids,video,https://www.facebook.com/cnn/videos/10155089309291509/,2016-07-26 19:22:00,2731,686,290,2115,392,3,159,1,62
5550296508_10155089252631509,"""When she tells you something, take it to the bank."" - New York Sen. Charles Schumer says Hillary Clinton is a woman of her word. http://cnn.it/2a3d2q5",Sen. Schumer on Hillary Clinton's word,video,https://www.facebook.com/cnn/videos/10155089252631509/,2016-07-26 19:05:00,2197,1130,200,1429,182,5,504,8,69
5550296508_10155089281701509,"Some Bernie Sanders supporters walk out of DNC, protesting Hillary Clinton's nomination.",Protesters outside the DNC,video,https://www.facebook.com/cnn/videos/10155089281701509/,2016-07-26 18:56:14,6541,5559,1067,4412,474,138,750,166,603
5550296508_10155089243926509,"""I've known Hillary Clinton for decades."" - President Jimmy Carter speaks to Democrats at the DNC. http://cnn.it/2a3d2q5",President Jimmy Carter addresses the DNC,video,https://www.facebook.com/cnn/videos/10155089243926509/,2016-07-26 18:53:00,3736,473,416,3027,553,14,35,10,97
5550296508_10155089241591509,"American actress Elizabeth Banks makes a familiarly dramatic entrance to Democratic convention, imitating Donald J. Trump http://cnn.it/2a3d2q5",Elizabeth Banks enters DNC,video,https://www.facebook.com/cnn/videos/10155089241591509/,2016-07-26 18:39:58,5606,1079,644,3188,336,23,1921,18,120
5550296508_10155089140311509,"BREAKING: In a historic display of unity, Bernie Sanders moves to formally nominate Hillary Clinton as the Democratic Party's nominee for President. http://cnn.it/2afyvPW",Bernie Sanders nominates Hillary Clinton for president,video,https://www.facebook.com/cnn/videos/10155089140311509/,2016-07-26 17:57:24,40176,4404,18401,30628,5998,240,281,1277,1758
5550296508_10155089095031509,BREAKING: Hillary Clinton becomes first woman to win major party nomination for president. http://cnn.it/2a36ibE #DemsInPhilly,History: Hillary Clinton becomes first woman to win nomination,video,https://www.facebook.com/cnn/videos/10155089095031509/,2016-07-26 17:43:35,12795,1642,3097,9665,1935,74,98,116,908
5550296508_10155089052171509,"""I never thought that I would live to see this day."" Woman casts Oklahoma's votes for Hillary Clinton. http://cnn.it/2a37Br5",'I never thought that I would live to see this day',video,https://www.facebook.com/cnn/videos/10155089052171509/,2016-07-26 17:30:23,4814,575,464,3834,711,16,35,20,199
5550296508_10155089024641509,Donald J. Trump threatened to not pay his bill for the room. The hotel is fighting back.,Hotel fights back after Trump threatens to not pay,link,http://cnn.it/2afsang,2016-07-26 17:19:30,12369,3633,4658,6865,153,534,3016,88,1715
